course_id,skill_1,skill_2,skill_3,course_title,level,test_required
1,Cyber Security,Networking,Operating Systems,Cyber Security + Networking + Operating Systems Professional Course,Advanced,Yes
2,Java,C,UI/UX,Java + C + UI/UX Professional Course,Beginner,Yes
3,JavaScript,Express,Machine Learning,JavaScript + Express + Machine Learning Professional Course,Intermediate,Yes
4,HTML,CSS,React,HTML + CSS + React Professional Course,Beginner,Yes
5,Java,Git,Cloud Basics,Java + Git + Cloud Basics Professional Course,Advanced,No
6,CSS,TypeScript,DSA,CSS + TypeScript + DSA Professional Course,Intermediate,No
7,HTML,MongoDB,Java,HTML + MongoDB + Java Professional Course,Beginner,Yes
8,Git,Machine Learning,Operating Systems,Git + Machine Learning + Operating Systems Professional Course,Intermediate,Yes
9,Node.js,SQL,Figma,Node.js + SQL + Figma Professional Course,Advanced,Yes
10,HTML,CSS,Java,HTML + CSS + Java Professional Course,Advanced,Yes
11,CSS,TypeScript,Java,CSS + TypeScript + Java Professional Course,Advanced,Yes
12,Express,C,Cloud Basics,Express + C + Cloud Basics Professional Course,Advanced,No
13,DSA,Git,Cloud Basics,DSA + Git + Cloud Basics Professional Course,Beginner,Yes
14,MongoDB,Java,UI/UX,MongoDB + Java + UI/UX Professional Course,Beginner,No
15,JavaScript,C,C++,JavaScript + C + C++ Professional Course,Advanced,Yes
16,Node.js,Python,Cloud Basics,Node.js + Python + Cloud Basics Professional Course,Advanced,Yes
17,Cloud Basics,Cyber Security,Networking,Cloud Basics + Cyber Security + Networking Professional Course,Beginner,Yes
18,HTML,JavaScript,Operating Systems,HTML + JavaScript + Operating Systems Professional Course,Advanced,Yes
19,TypeScript,Express,Machine Learning,TypeScript + Express + Machine Learning Professional Course,Beginner,Yes
20,MongoDB,SQL,Operating Systems,MongoDB + SQL + Operating Systems Professional Course,Advanced,No
21,Node.js,SQL,Operating Systems,Node.js + SQL + Operating Systems Professional Course,Advanced,Yes
22,React,Networking,Figma,React + Networking + Figma Professional Course,Intermediate,No
23,Git,Cyber Security,Operating Systems,Git + Cyber Security + Operating Systems Professional Course,Beginner,Yes
24,HTML,Cyber Security,Figma,HTML + Cyber Security + Figma Professional Course,Beginner,No
25,JavaScript,TypeScript,SQL,JavaScript + TypeScript + SQL Professional Course,Intermediate,No
